ensembl_gene_id,study,ASD_DEUp_Voineagu,ASD_DEDown_Voineagu,ASD_CoexDown_M12_Voineagu,ASD_CoexUp_M16_Voineagu,ASD_CoexDown_M1_Gupta,ASD_CoexUp_M6_Gupta,ASD_CoexUp_M5_Gupta,Up,Down
ENSG00000156508,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000233927,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000117408,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000145012,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000163877,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000065618,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000064961,Voineagu,0,0,0,1,NA,NA,NA,NA,NA
ENSG00000243414,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000179833,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000118785,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000115307,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000116688,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000028310,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000179588,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000158373,Voineagu,1,0,0,0,NA,NA,NA,NA,NA
ENSG00000130222,Voineagu,1,0,0,0,NA,NA,NA,NA,NA
ENSG00000113719,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000039123,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000105245,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000178202,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000165272,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000007047,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000138190,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000213420,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000140943,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000152291,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000149582,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000196588,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000173327,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000134294,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000168765,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000171189,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000178234,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000176788,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000163468,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
ENSG00000110047,Voineagu,0,0,0,0,NA,NA,NA,NA,NA
