animal_id	sex	exact_age_years	birth_season	age	birth_date	with_infant	trapping_date	euthanasia_date	days_between	necropsy_id	ketamine_time	ketamine_amount	euthanasia_time	brain_extraction_time	brain_frozen_time	blood_in_brain	saline_L	weight_kg	brain_weight_grams	MBR_ID	MMB_ID	MPTB_ID	animal_metadata_comments	group.at.birth	rank	rank.scaled	ordinal.rank	percofsex.dominanted	hrs.focalfollowed
0K1	m	7.02532512	2010	7	2009-10-11	N	2016-10-18	2016-10-20	2	A16-380		NA					9	7.92	93.7	MBR0002	MMB0002	MPTB005		V	19	0.217391304347826	L	25	2.833333333
1B7	m	11.01984942	2006	11	2005-11-09	N	2016-11-15	2016-11-16	1	A16-463		NA	04:14	04:41	05:06	N	NA	8.58	96.1	MBR0054	MMB0054	MPTB014		R	3	0.91304347826087	H	91.66666667	3
20S	f	14.91033539	2002	15	2001-11-29	Y	2016-10-26	2016-10-27	1	A16-418		NA					NA	6.6	77	MBR0041	MMB0041	MPTB001		HH	16	0.666666666666667	M	67.39130435	3
22H	f	19.88774812	1997	20	1996-12-04	Y	2016-10-19	2016-10-24	5	A16-397	12:35	NA					NA	5.98	85.6	MBR0029	MMB0029	MPTB007		F	15	0.688888888888889	M	69.56521739	3
2C7	f	11.20054757	2006	11	2005-09-26	N	2016-12-01	2016-12-08	7	A16-486		NA		09:45	10:10	N	NA	6.32	90.6	MBR0072	MMB0072	MPTB016	morphometrics completed on 12/2, but Olga was traveling, so the animal was kept at CPRC until her return on 12/8	HH	45	0.0222222222222223	L	4.347826087	3.166666667
2E9	f	10.22861054	2007	10	2006-09-28	Y	2016-12-12	2016-12-20	8	A16-533	08:00	NA	08:40	09:10	09:30	N	NA	7.38	85.7	MBR0074	MMB0074	MPTB024		HH	41	0.111111111111111	L	13.04347826	3.166666667
36O	f	16.01916496	2001	16	2000-12-08	N	2016-12-12	2016-12-15	3	A16-518	10:40	NA	11:10	11:40	12:05	Y	NA	6.7	90.2	MBR0116	MMB0116	MPTB022	blood in cerebellum and posterior cortex; oval/diamond-shaped posterior brain sections (sections brain 10 and brain 11)	HH	43	0.0666666666666667	L	8.695652174	2.833333333
3A6	m	11.9835729	2005	12	2004-11-07	N	2016-10-26	2016-11-01	6	A16-429		NA		11:00	NA	N	NA	10.62	101.4	MBR0052	MMB0052	MPTB010		R	15	0.391304347826087	L	41.66666667	2.833333333
3A9	f	12.06570842	2005	12	2004-11-21	N	2016-12-12	2016-12-15	3	A16-520	12:10	NA	01:00	01:35	01:55	N	NA	8.46	90.3	MBR0112	MMB0112	MPTB022		HH	30	0.355555555555556	L	36.95652174	3
3L5	m	5.889117043	2011	6	2010-12-04	N	2016-10-19	2016-10-24	5	A16-399	03:45	NA					NA	8.14	107.8	MBR0031	MMB0031	MPTB007		HH	10	0.608695652173913	M	62.5	3
