LID	Individual	Region	QC	QC.type	QC.notes	RIN	RNA	Library.well	P7	P5	Extraction.batch	Library.batch	Sequencing.batch
LID_100658	0K1	STS	7	Tapestation (RINe)		7.063572	RID_1000176	A	NEBNext_i701	NEBNext_i501	2017-10-21	2018-06-09	NovaSeq S2
LID_100659	4N7	STS	7.3	Tapestation (RINe)		7.366297	RID_1000168	B	NEBNext_i702	NEBNext_i501	2017-10-21	2018-06-09	NovaSeq S2
LID_100660	2E9	AMY	6.9	Tapestation (RINe)		6.962664	RID_1000124	A03	NEBNext_i703	NEBNext_i501	2017-10-19	2018-06-12	NovaSeq S2
LID_100661	60T	AMY	6.9	Tapestation (RINe)		6.962664	RID_1000125	A04	NEBNext_i704	NEBNext_i501	2017-10-19	2018-06-12	NovaSeq S2
LID_100662	1B7	AMY	7.2	Tapestation (RINe)		7.265388	RID_1000126	A05	NEBNext_i705	NEBNext_i501	2017-10-19	2018-06-12	NovaSeq S2
LID_100663	7L0	AMY	7.9	Tapestation (RINe)		7.971746	RID_1000127	A06	NEBNext_i706	NEBNext_i501	2017-10-19	2018-06-12	NovaSeq S2
LID_100665	3A6	AMY	4.7	Tapestation (RINe)		4.742684	RID_1000129	A08	NEBNext_i708	NEBNext_i509	2017-10-19	2018-06-12	NovaSeq S2
LID_100666	8L6	AMY	6.3	Tapestation (RINe)		6.357215	RID_1000130	A09	NEBNext_i709	NEBNext_i509	2017-10-19	2018-06-12	NovaSeq S2
LID_100667	5B6	AMY	7.5	Tapestation (RINe)		7.568113	RID_1000131	A10	NEBNext_i710	NEBNext_i509	2017-10-19	2018-06-12	NovaSeq S2
LID_100668	7L7	AMY	4.8	Tapestation (RINe)		4.843592	RID_1000132	A11	NEBNext_i711	NEBNext_i509	2017-10-19	2018-06-12	NovaSeq S2
LID_100669	94S	AMY	6.5	Tapestation (RINe)		6.559031	RID_1000133	A12	NEBNext_i712	NEBNext_i509	2017-10-20	2018-06-12	NovaSeq S2
LID_100670	4J3	AMY	6.8	Tapestation (RINe)		6.861756	RID_1000134	B01	NEBNext_i701	NEBNext_i502	2017-10-20	2018-06-12	NovaSeq S2
LID_100671	9C6	AMY	5.5	Tapestation (RINe)		5.54995	RID_1000135	B02	NEBNext_i702	NEBNext_i502	2017-10-20	2018-06-12	NovaSeq S2
