Gene,Synonymous,HC LoF,ExACtool percentile,top expr tissue (3x more),office of rare diseases
NIPBL,313,1,6.89E-05,,
SCN1A,245,2,1.38E-04,,
NOTCH1,663,2,2.07E-04,,
TSC2,518,5,2.76E-04,,
PTCH1,301,3,3.44E-04,,YES
SCN5A,98,4,4.13E-04,heart,YES
EP300,417,2,4.82E-04,,YES
CACNA1C,433,11,5.51E-04,,YES
CACNA1G,434,9,6.20E-04,brain,
SMARCA4,338,2,6.89E-04,,
ATP2B3,211,1,7.58E-04,,
KCNH2,225,11,8.27E-04,,YES
FLNA,457,3,8.96E-04,,YES
TP53,70,1,9.65E-04,,YES
LMNA,125,3,1.03E-03,,YES
CREBBP,481,4,1.10E-03,,YES
RREB1,412,1,1.17E-03,,
GRM7,183,1,1.24E-03,brain,
CACNA1E,359,1,1.31E-03,brain,
NAV1,286,1,1.38E-03,,
SCN2A,246,2,1.45E-03,brain,YES
DAG1,164,1,1.52E-03,,
F8,166,2,1.58E-03,,
MLH1,105,9,1.65E-03,,YES
MGAT1,103,1,1.72E-03,,
FGFR2,170,2,1.79E-03,,YES
NSD1,348,4,1.86E-03,,YES
RALGAPB,189,1,1.93E-03,,
CASZ1,353,4,2.00E-03,,
BRCA1,215,71,2.07E-03,,
PSEN1,82,2,2.14E-03,,YES
DYSF,420,74,2.20E-03,,YES
KIT,164,1,2.27E-03,,YES
NRXN3,258,1,2.34E-03,,
KCNH4,180,1,2.41E-03,,
RYR1,953,78,2.48E-03,skeletal_muscle,YES
COL4A5,146,5,2.55E-03,esophagus,
LRP1,836,8,2.62E-03,,
FLNB,483,35,2.69E-03,,YES
WHSC1,263,3,2.76E-03,,
KCNQ2,191,3,2.82E-03,brain,
FBN1,405,8,2.89E-03,,YES
ATP1A3,208,1,2.96E-03,,YES
HCFC1,285,1,3.03E-03,,
ACTB,120,1,3.10E-03,,YES
ESR1,106,1,3.17E-03,,
RET,197,2,3.24E-03,,YES
ABL1,218,1,3.31E-03,,
SOX30,100,1,3.38E-03,,
KCNQ1,150,16,3.44E-03,,YES
NLRP3,207,11,3.51E-03,whole_blood,YES
DLL1,155,1,3.58E-03,spleen,
MECP2,128,6,3.65E-03,,YES
COL6A3,613,49,3.72E-03,,YES
FOXK1,158,1,3.79E-03,,
APC,373,13,3.86E-03,brain,YES
NUP98,244,12,3.93E-03,,
ATP2B2,257,2,4.00E-03,,
COL1A1,266,9,4.06E-03,,YES
TBX3,127,1,4.13E-03,adrenal_gland,YES
CACNA1D,328,7,4.20E-03,,
APP,137,8,4.27E-03,,
LRP2,648,27,4.34E-03,thyroid,YES
GRIK3,195,1,4.41E-03,nerve_tibial,
TRIM71,183,1,4.48E-03,lung,
CAMTA1,266,1,4.55E-03,,
SERPINA1,79,10,4.62E-03,liver,
HELZ,251,2,4.68E-03,,
CTNND2,229,1,4.75E-03,brain,
DAB2IP,250,1,4.82E-03,,
COL5A2,197,2,4.89E-03,,
ZNF521,233,1,4.96E-03,,
FUS,101,1,5.03E-03,,YES
CACNA1H,702,20,5.10E-03,,
ATRX,197,4,5.17E-03,,YES
FGFR1,162,4,5.24E-03,,YES
CASR,170,10,5.30E-03,pancreas,YES
UBTF,161,1,5.37E-03,,
TSC1,175,3,5.44E-03,,YES
ATP2B1,138,1,5.51E-03,,
ARSA,85,18,5.58E-03,,YES
SERPING1,81,1,5.65E-03,,YES
SCN4A,97,1,5.72E-03,skeletal_muscle,YES
SRCAP,528,11,5.79E-03,,YES
SCN3A,269,7,5.86E-03,brain,
PCIF1,132,1,5.92E-03,,
ZNF608,235,1,5.99E-03,,
MYH9,409,3,6.06E-03,,YES
MYH11,416,16,6.13E-03,,YES
CHAT,140,11,6.20E-03,colon,
JAG1,204,2,6.27E-03,,YES
LIN54,92,1,6.34E-03,,
COL2A1,267,6,6.41E-03,stomach,YES
DHX30,236,1,6.48E-03,,
SETD1A,375,4,6.54E-03,,
FLNC,555,17,6.61E-03,,
TP63,130,6,6.68E-03,,YES
ATP2A3,264,22,6.75E-03,,
WFS1,330,31,6.82E-03,,
ADNP,190,3,6.89E-03,,
RLF,236,1,6.96E-03,,
NUFIP2,107,1,7.03E-03,,
COL1A2,196,12,7.10E-03,,YES
MSL2,88,1,7.17E-03,,
GCK,99,6,7.23E-03,,YES
ATP1A1,175,2,7.30E-03,,
ASH1L,331,5,7.37E-03,,
OCRL,73,1,7.44E-03,,YES
ZNF609,224,1,7.51E-03,,
PAX7,111,2,7.58E-03,skeletal_muscle,YES
EXT1,122,1,7.65E-03,,YES
PKHD1,568,89,7.72E-03,pancreas,YES
MGAT5,115,1,7.79E-03,,
FBN2,428,17,7.85E-03,,YES
SYK,105,1,7.92E-03,,
RBM14,131,1,7.99E-03,,
RB1,102,1,8.06E-03,,YES
VCAN,420,14,8.13E-03,,YES
ELFN2,201,1,8.20E-03,brain,
GBA,72,14,8.27E-03,,YES
GNAS,324,13,8.34E-03,,YES
NF2,93,2,8.41E-03,,YES
MGA,375,8,8.47E-03,,
OPA1,122,13,8.54E-03,,
SLC12A5,183,2,8.61E-03,brain,
EEF1D,275,24,8.68E-03,,
THRB,78,2,8.75E-03,,
PC,248,10,8.82E-03,,YES
EP400,594,24,8.89E-03,,
SUPT5H,205,2,8.96E-03,,
ATP2C1,110,4,9.03E-03,,YES
SOX6,108,2,9.09E-03,,
LRP1B,652,34,9.16E-03,,
PAX3,97,5,9.23E-03,,YES
ZNF592,209,1,9.30E-03,,YES
KCNB1,125,1,9.37E-03,,
COL11A1,241,17,9.44E-03,,YES
HBB,39,13,9.51E-03,whole_blood,YES
JAG2,281,8,9.58E-03,,
